Entity	Type	Type_id
jens stoltenberg nato	PERSON	380
ukrainian army	ORG	383
ready betray poroshenko	PERSON	380
ukraine	GPE	384
east u...	GPE	384
european	NORP	381
kyiv junta	PERSON	380
avdiivka k	PRODUCT	386
poroshenko	PERSON	380
eu	ORG	383
eu	ORG	383
al baghdadis	PERSON	380
poroshenko	PERSON	380
german	NORP	381
reich	PERSON	380
ukraine	GPE	384
avdiivka test lo	PERSON	380
milano monastery	PERSON	380
milano monastery	PERSON	380
turkey	GPE	384
south ukra	LOC	385
ukraine	GPE	384
slovak	PERSON	380
interior kalinak	PERSON	380
poland national strategy restore	ORG	383
borde	GPE	384
ukrainian	NORP	381
poroshenko ukrainian	PERSON	380
ukrainian	NORP	381
roman zozulya	NORP	381
avdiivka	ORG	383
ukrainian	NORP	381
ukrainian army	ORG	383
avdiivka	ORG	383
eastern partnership external control disi	ORG	383
german	NORP	381
uk	GPE	384
hillary clinton	PERSON	380
colo	GPE	384
ukraine	GPE	384
ukraine	GPE	384
pa	GPE	384
georgian	NORP	381
ukraine	GPE	384
crimea referendum	PERSON	380
usa plans de	ORG	383
control moscow	ORG	383
ukraine nazi	ORG	383
ukrainian	NORP	381
osce	PERSON	380
brussels	GPE	384
european	NORP	381
european	NORP	381
czech	NORP	381
ukraine	GPE	384
democrati	GPE	384
netherlands	GPE	384
angela merkels party sdu sister party	ORG	383
syria	GPE	384
kiev	PERSON	380
russian	NORP	381
ukraine	GPE	384
ukrainians	NORP	381
eu	ORG	383
moldova	ORG	383
european	NORP	381
ancien	PERSON	380
canadian	NORP	381
czech ministry	ORG	383
ukrainian	NORP	381
milano monastery	PERSON	380
america bulgaria foundation	ORG	383
george soros	PERSON	380
ukraine	GPE	384
ukrainian	NORP	381
ukraine	GPE	384
ukrainian	NORP	381
german	NORP	381
ukraine ernst reichel	PERSON	380
canadian	NORP	381
ukrainian	NORP	381
multina	GPE	384
ukrainian	NORP	381
multina	GPE	384
ukrainian	NORP	381
interior ukraine	PERSON	380
russian	NORP	381
george soros	PERSON	380
ukraine	GPE	384
vaclav havel memorial kyiv dama	FAC	9191306739292312949
un	ORG	383
russia	GPE	384
volyn vinnitsa secede	ORG	383
ukraine	GPE	384
volyn vinnitsa secede	ORG	383
ukraine	GPE	384
ukrainian	NORP	381
europe	LOC	385
thousands	CARDINAL	397
europe	LOC	385
brussels	GPE	384
brussels	GPE	384
uk secret service	ORG	383
american	NORP	381
ukraine	GPE	384
half	CARDINAL	397
western	NORP	381
russia	GPE	384
ukraine	GPE	384
russia	GPE	384
ukrainian	NORP	381
ukraine	GPE	384
hunt separatists ukraine	ORG	383
hundreds	CARDINAL	397
russian	NORP	381
cnn	ORG	383
dutch	NORP	381
georgia ukraine nato c	ORG	383
russia	GPE	384
ukraine	GPE	384
russia	GPE	384
european	NORP	381
poland	GPE	384
nato	ORG	383
obama administra	PERSON	380
ukraine	GPE	384
ukraine	GPE	384
nominee rex tillerson na	PERSON	380
swedish institute international affairs u...	ORG	383
georgia	GPE	384
eastern partnership	ORG	383
german focus magazine acc	ORG	383
ukraine	GPE	384
russia	GPE	384
dutch	NORP	381
turkey	GPE	384
ukrainian	NORP	381
czech	NORP	381
ukraine kills	PERSON	380
eu	ORG	383
cia	ORG	383
russian	NORP	381
cia repo	PERSON	380
moscow state university	ORG	383
nato	ORG	383
european	NORP	381
eu	ORG	383
eu	ORG	383
eu	ORG	383
syria	GPE	384
estonian	NORP	381
ukraine	GPE	384
emblem	GPE	384
ussr	GPE	384
democratic party	ORG	383
russian	NORP	381
donbas	GPE	384
eu	ORG	383
moldova moldova	PERSON	380
kaliningrad west	ORG	383
russia	GPE	384
czech	NORP	381
czech	NORP	381
ukrainian	NORP	381
nato	ORG	383
europeans	NORP	381
ukraine	GPE	384
russia	GPE	384
allahu akhbar	PERSON	380
mo	GPE	384
eu	ORG	383
bulgaria	GPE	384
eu	ORG	383
new year eve e	EVENT	387
john mccain	PERSON	380
russian	NORP	381
baltic	NORP	381
ukrainian	NORP	381
germans	NORP	381
germans	NORP	381
russia	GPE	384
american	NORP	381
ukraine	GPE	384
eu	ORG	383
euros sudan eu se	PERSON	380
vatican	ORG	383
east aleppo	LOC	385
ukrainian	NORP	381
luhansk	PERSON	380
nato	ORG	383
syrian	NORP	381
nato	ORG	383
united nations	ORG	383
eu	ORG	383
syria	GPE	384
federica	PRODUCT	386
donald tusk	PERSON	380
chemica	PERSON	380
eu	ORG	383
syria	GPE	384
visa liberalization ukraine	ORG	383
greek church going incorporate church ts	ORG	383
ukrainian	NORP	381
ukrainian	NORP	381
western	NORP	381
syrian	NORP	381
syrian	NORP	381
ukrainian	NORP	381
sweden	GPE	384
western	NORP	381
russop	PERSON	380
al quds hospital aleppo	FAC	9191306739292312949
al quds	PERSON	380
eu	ORG	383
moldova	PERSON	380
american	NORP	381
armenians	NORP	381
syrian	NORP	381
german	NORP	381
bild	PERSON	380
putin	PERSON	380
russia	GPE	384
humanitaria	GPE	384
western	NORP	381
armed coup ukraine	ORG	383
ukraine mfa	ORG	383
eu betrayal ukraines	ORG	383
ceska	ORG	383
sporitelna austrian	PERSON	380
ukrainian	NORP	381
syria	GPE	384
ukraine	GPE	384
ukraine	GPE	384
european	NORP	381
czech	NORP	381
ukraine	GPE	384
russia	GPE	384
[merkel	PERSON	380
russia	GPE	384
george soros	PERSON	380
west	LOC	385
russia	GPE	384
ukraine	GPE	384
german	NORP	381
russia	GPE	384
russia	GPE	384
russian	NORP	381
cia	ORG	383
cia	ORG	383
czech	NORP	381
europe	LOC	385
baltic	LOC	385
georgian	NORP	381
russia	GPE	384
ukraine	GPE	384
ukraine	GPE	384
ukraine	GPE	384
today	DATE	391
europe	LOC	385
eu fed	ORG	383
putin	PERSON	380
russia	GPE	384
west	LOC	385
russia	GPE	384
austria	GPE	384
jews world control governments create co	ORG	383
czech	NORP	381
sweden	GPE	384
ukraine	GPE	384
totalitarian	NORP	381
europe	LOC	385
europe	LOC	385
europe	LOC	385
europe	LOC	385
ukrainian orthodox church	ORG	383
uk	GPE	384
gram	PERSON	380
un	ORG	383
antonio gu	PERSON	380
ukraine	GPE	384
czech	NORP	381
ukrainian	NORP	381
nato	ORG	383
donbas nato	PERSON	380
european	NORP	381
ukraine	GPE	384
nato	ORG	383
russia	GPE	384
czech ministry interior launched group	ORG	383
hillary clinton	PERSON	380
european	NORP	381
russian	NORP	381
finland	GPE	384
lithuania	GPE	384
donald	PERSON	380
hung baltic	PERSON	380
poland end	ORG	383
germany	GPE	384
russia	GPE	384
poland end	ORG	383
germany	GPE	384
russia	GPE	384
sweden	GPE	384
fed	ORG	383
eu	ORG	383
russia	GPE	384
europe	LOC	385
russia	GPE	384
nato	ORG	383
russia	GPE	384
russians	NORP	381
ukrainian	NORP	381
ukraine	GPE	384
year	DATE	391
russian	NORP	381
ukraine	GPE	384
europe transforming	NORP	381
muslim	NORP	381
czech	NORP	381
czech	NORP	381
russian	NORP	381
lithuanian	NORP	381
european	NORP	381
christmas	DATE	391
sweden	GPE	384
muslim	NORP	381
ukrainian	NORP	381
nazi	NORP	381
ukrainian	NORP	381
arseniy yatsenyuk	PERSON	380
ukrainian	NORP	381
arseniy yatsenyuk	PERSON	380
ukraine	GPE	384
ukraine	GPE	384
ukraine flood europe u	ORG	383
nato eastern europe	ORG	383
eu	ORG	383
czech	NORP	381
usa eu czec	PRODUCT	386
europe	LOC	385
russia	GPE	384
russia	GPE	384
russia	GPE	384
european	NORP	381
poland baltic countries	ORG	383
alexander litvinenko	PERSON	380
eu	ORG	383
europeans	NORP	381
russian	NORP	381
angela merkel	PERSON	380
donald	PERSON	380
turkish	NORP	381
nato	ORG	383
russia	GPE	384
europe	LOC	385
ukrainian	NORP	381
nazis	NORP	381
nazi	NORP	381
russian	NORP	381
west propaganda	GPE	384
russian	NORP	381
ukraine	GPE	384
russian	NORP	381
uk	GPE	384
german	NORP	381
ukraine	GPE	384
chile	GPE	384
mo	PERSON	380
austria falsifie	PERSON	380
baltic	NORP	381
moscow	GPE	384
balt	GPE	384
ukrainian	NORP	381
baltic	NORP	381
nato	ORG	383
kurdish	NORP	381
ukraine	GPE	384
putin	PERSON	380
ru	PERSON	380
european	NORP	381
marijuana	GPE	384
lithuanian	NORP	381
nato	ORG	383
entered luhansk	PERSON	380
marijuana	GPE	384
lithuanian	NORP	381
ukraine	GPE	384
muslims	NORP	381
swedish	NORP	381
baltic	NORP	381
bal	ORG	383
french	NORP	381
sharia laws s	WORK_OF_ART	388
sweden	GPE	384
eu	ORG	383
ra	ORG	383
yugoslavia	GPE	384
czechoslovakia	GPE	384
europe	LOC	385
eur	ORG	383
eu	ORG	383
czech republic	GPE	384
hitler eu	PERSON	380
attack russ	PERSON	380
soros german	NORP	381
poland	GPE	384
polish	NORP	381
moscow	GPE	384
mos	PERSON	380
baltic	NORP	381
poland	GPE	384
ukrainian	NORP	381
ukrainian	NORP	381
russia	GPE	384
ukrainian	GPE	384
ukrainian	NORP	381
muslim	NORP	381
bulgaria	GPE	384
islamic	NORP	381
sweden	GPE	384
eu	ORG	383
ukraine	GPE	384
russian	NORP	381
polish	NORP	381
ukraine	GPE	384
americans	NORP	381
george soros	PERSON	380
russia	GPE	384
ukrainian sabotage group	ORG	383
german	NORP	381
turkish	NORP	381
democrats	NORP	381
white house	ORG	383
russia	GPE	384
ukrainian	NORP	381
nazis	NORP	381
russian	LANGUAGE	389
austria	GPE	384
poland	GPE	384
negoti	GPE	384
ukraine	GPE	384
eu	ORG	383
eu vassal	PERSON	380
georgia end	ORG	383
ukrainian	NORP	381
ukrainian health ministry	ORG	383
ukrainian army	ORG	383
fbi	ORG	383
russian	NORP	381
american	NORP	381
russian	NORP	381
ukraine	GPE	384
swedish	NORP	381
swedish	NORP	381
european	NORP	381
eu moldova impro	ORG	383
baltic	NORP	381
economi	GPE	384
nato	ORG	383
luhansk nato	PERSON	380
ukrainian armed forces	ORG	383
mercena	ORG	383
mikhail gorbachev	PERSON	380
hillary clinton	PERSON	380
september	DATE	391
russian	LANGUAGE	389
hillary	PERSON	380
impart	PERSON	380
russians	NORP	381
czech	NORP	381
czech	NORP	381
maidan	PERSON	380
november	DATE	391
czech	NORP	381
ukrainian	NORP	381
ukraine	GPE	384
winter	DATE	391
ukrainian	NORP	381
ukraine	GPE	384
washington	GPE	384
czech	NORP	381
european	NORP	381
ukrainian	NORP	381
ukrainian	NORP	381
west dreams	GPE	384
russia	GPE	384
czech republic	GPE	384
czech	NORP	381
czech	NORP	381
germany	GPE	384
germany	GPE	384
moldovan	GPE	384
politician maia	PERSON	380
nato	ORG	383
russia	GPE	384
nato nato	PERSON	380
antirussian rhetoric belarus	ORG	383
polish	NORP	381
maria zakha	PERSON	380
polish	NORP	381
maria zakha	PERSON	380
european	NORP	381
russia	GPE	384
russians	NORP	381
russian	LANGUAGE	389
czech	NORP	381
zeman	PERSON	380
czechosl	PERSON	380
german	NORP	381
refu	PERSON	380
swedish	NORP	381
ukraine	GPE	384
eu association	ORG	383
ukraine	GPE	384
u...	GPE	384
ukraine	GPE	384
george soros declar	PERSON	380
daesh syria	PERSON	380
maia sandu	PERSON	380
european	NORP	381
acc	PERSON	380
russia	GPE	384
west moscow	GPE	384
ukrainian	NORP	381
ukrainian	NORP	381
russia uss	GPE	384
russia	GPE	384
ukrainian	NORP	381
ukrainian	NORP	381
ec	ORG	383
ec	ORG	383
austrian	NORP	381
west	LOC	385
russian	LANGUAGE	389
czech ministry	ORG	383
austrian court	ORG	383
austrian court	ORG	383
czech	NORP	381
zeman preparing	PERSON	380
german	NORP	381
nadiya savchenko	PERSON	380
yulia tymoshenko	PERSON	380
ukrainian	NORP	381
ukrainian	NORP	381
ukrainian	NORP	381
russia	GPE	384
wwiii	PERSON	380
nato	ORG	383
uk	GPE	384
spain	GPE	384
russia	GPE	384
nato	ORG	383
russia nato	EVENT	387
nato	ORG	383
nato	ORG	383
russian	NORP	381
syrian	NORP	381
nato	ORG	383
russian	NORP	381
kali	NORP	381
eu	ORG	383
ukrainian	NORP	381
poroshenko	PERSON	380
ukrainian	NORP	381
islamic	NORP	381
syrian	NORP	381
earns s	PERSON	380
russian	NORP	381
nato	ORG	383
europeans	NORP	381
ukrainian	NORP	381
mh ukrainian	PERSON	380
petro poroshenko	ORG	383
ukraine person	PERSON	380
russia	GPE	384
russia annex crim	ORG	383
hungarian	NORP	381
communist	NORP	381
ukrainian	NORP	381
ukrainian	NORP	381
ukraine	GPE	384
ukraine	GPE	384
ukraine	GPE	384
ukraine	GPE	384
joseph stalin	PERSON	380
baltic	NORP	381
eu	ORG	383
russia	GPE	384
eu	ORG	383
russia	GPE	384
eu	ORG	383
brussels hrvp	PERSON	380
moldova european	NORP	381
george soros	PERSON	380
hundreds	CARDINAL	397
prepare falseflag russian	PERSON	380
alaska	GPE	384
ukraine	GPE	384
poland	GPE	384
ukraine	GPE	384
poland	GPE	384
transcarpathia	ORG	383
ukraine	GPE	384
estonia	GPE	384
baltic	NORP	381
estonia	GPE	384
ukrainian	NORP	381
belgian	NORP	381
bomba	GPE	384
eu	ORG	383
russian	NORP	381
russian	NORP	381
russian	NORP	381
russian	NORP	381
mosul clin	PERSON	380
russian	NORP	381
west	LOC	385
russia	GPE	384
italian	NORP	381
andrea rocchelli	PERSON	380
european commission	ORG	383
ukraine	GPE	384
russia	GPE	384
ukrainian	NORP	381
russian	NORP	381
ukraine	GPE	384
russian	NORP	381
russia	GPE	384
moscow	GPE	384
russia	GPE	384
ukraine belarus	ORG	383
ukraines defense ministry	ORG	383
separat	PERSON	380
america	GPE	384
ukraine	GPE	384
ukraine	GPE	384
syria	GPE	384
west unle	NORP	381
[al baghdadi	PERSON	380
abu bakr albaghdadi	PERSON	380
russia war crimes	EVENT	387
syria	GPE	384
hillary clinton	PERSON	380
baltic	NORP	381
baltic s	PRODUCT	386
ukraine	GPE	384
usa	ORG	383
ukraine	GPE	384
ukrainian	NORP	381
saudi arabia	GPE	384
qatar	GPE	384
syrian arab	NORP	381
syrian arab	NORP	381
ukraine	GPE	384
cede	GPE	384
romania	GPE	384
ukraine	GPE	384
cede	GPE	384
romania	GPE	384
syria	GPE	384
ukrainian	NORP	381
fighti	GPE	384
russians	NORP	381
khan russian prince	PERSON	380
ukraine	GPE	384
leonid kravchuk	PERSON	380
ukraine	GPE	384
leonid kravchuk	PERSON	380
german	NORP	381
hubert seipe	PERSON	380
soviet	NORP	381
mh crash	PERSON	380
mh cr	PERSON	380
lithuanian	NORP	381
germans	NORP	381
russia	GPE	384
german	NORP	381
finnish	NORP	381
czech	NORP	381
nobel laureate economics	WORK_OF_ART	388
romania l	GPE	384
eastern partnership	ORG	383
russia	GPE	384
china	GPE	384
antirussian	NORP	381
september	DATE	391
un	ORG	383
september	DATE	391
un	ORG	383
hillary clinton	PERSON	380
thousands	CARDINAL	397
hillary clinton	PERSON	380
thousands	CARDINAL	397
czech tv	ORG	383
syria	GPE	384
russia	GPE	384
al baghdadi	PERSON	380
cl	GPE	384
mejlis	PERSON	380
favour	PERSON	380
kiev	PERSON	380
aleppo kiev	PERSON	380
munich	PERSON	380
donald	PERSON	380
leadin	PERSON	380
german	NORP	381
thousands	CARDINAL	397
europe	LOC	385
dutch	NORP	381
swedish	NORP	381
finland u...	ORG	383
ukraine	GPE	384
mh case base	PERSON	380
catalonia	GPE	384
russia	GPE	384
[mh	PERSON	380
ukrainian ministry defence	ORG	383
milita	PERSON	380
ukrainian	NORP	381
milita	PERSON	380
maria butin	PERSON	380
national militia luhansk people	ORG	383
ukrainian	NORP	381
trumpclinton	ORG	383
west waging	GPE	384
russia	GPE	384
uk	GPE	384
eurovisi	ORG	383
estonia james melville	PERSON	380
polish	NORP	381
mep janusz korwinmikke	PERSON	380
ukraine	GPE	384
donbas kyiv res	PERSON	380
ukrainian	NORP	381
central intelligence agency	ORG	383
assa	PERSON	380
cia	ORG	383
bush clinton	PERSON	380
brussels	GPE	384
nato	ORG	383
russia	GPE	384
nato	ORG	383
russia	GPE	384
nato	ORG	383
russia	GPE	384
nato	ORG	383
russia	GPE	384
nato	ORG	383
russia	GPE	384
nato	ORG	383
russia	GPE	384
nato	ORG	383
russia	GPE	384
nato	ORG	383
russia	GPE	384
nato	ORG	383
russia	GPE	384
nato	ORG	383
russia	GPE	384
nato	ORG	383
russia	GPE	384
nato	ORG	383
russia	GPE	384
nato	ORG	383
russia	GPE	384
ukrainian	NORP	381
moldova u...	PERSON	380
congress pl	PERSON	380
israel	GPE	384
syria	GPE	384
israel	GPE	384
west...	GPE	384
russian	NORP	381
operat	PERSON	380
brussels	GPE	384
attemptin	PERSON	380
lithuania	NORP	381
american	NORP	381
nato	ORG	383
eu	ORG	383
migratio	PRODUCT	386
eu	ORG	383
syria	GPE	384
ukrainian	NORP	381
ukraine	GPE	384
finnish	NORP	381
russia	GPE	384
hillary clinton	PERSON	380
ukraine	GPE	384
ukraine	GPE	384
syrian	NORP	381
czech	NORP	381
pentagon nato	ORG	383
russian	NORP	381
russian	NORP	381
assa	PERSON	380
osce	PERSON	380
lambert	PERSON	380
ukrainian	NORP	381
eu usa	PERSON	380
europe	LOC	385
europe	LOC	385
ukraine	GPE	384
reutersus central command	ORG	383
lithuania	GPE	384
territo	GPE	384
moscow	GPE	384
crimea peninsula	PERSON	380
west	NORP	381
antirussian	NORP	381
neg	ORG	383
eu	ORG	383
kiev	PERSON	380
eu	ORG	383
european	NORP	381
austrian	NORP	381
brussels	GPE	384
totalitarian	NORP	381
brussels	GPE	384
american	NORP	381
vladimir putin	PERSON	380
hillary clinton	PERSON	380
hillary clint	PERSON	380
ukrainian	NORP	381
ukrainian	NORP	381
hillary clinton	PERSON	380
zbigniew brzezinski	PERSON	380
coup turkey zbi	PERSON	380
groups n...	ORG	383
russia	GPE	384
ukraine	GPE	384
russian	NORP	381
russia	GPE	384
ukraine	GPE	384
russian	NORP	381
ukraine	GPE	384
russia	GPE	384
eu	ORG	383
soviet union	ORG	383
eu	ORG	383
bin laden	PERSON	380
russia	GPE	384
ukraine	GPE	384
eu	ORG	383
eu n...	ORG	383
russia	GPE	384
hillary clinton	PERSON	380
russian	NORP	381
canadian	NORP	381
eu	ORG	383
nazis eu	PERSON	380
diffe	GPE	384
lithuanian	NORP	381
eu	ORG	383
hillary clinton	PERSON	380
czech	NORP	381
eu g	PERSON	380
russian	NORP	381
nato	ORG	383
russian	LANGUAGE	389
nato	ORG	383
russian	LANGUAGE	389
nato	ORG	383
russian	LANGUAGE	389
nato	ORG	383
russian	LANGUAGE	389
nato	ORG	383
russian	LANGUAGE	389
ru	PERSON	380
eu	ORG	383
washington dreams	ORG	383
putin rus	PERSON	380
lithuanian	NORP	381
[head political	PERSON	380
polish	NORP	381
russia	GPE	384
russia	GPE	384
ukraine	GPE	384
ukrainian	NORP	381
nato	ORG	383
estonia	GPE	384
russia	GPE	384
russia	GPE	384
baltic	NORP	381
ukraine	GPE	384
donbas uk	PERSON	380
russia	GPE	384
african	NORP	381
eu	ORG	383
russia	GPE	384
eu	ORG	383
russia	GPE	384
reuters	ORG	383
reuters	ORG	383
un	ORG	383
un	ORG	383
hillary clinton	PERSON	380
ukraine	GPE	384
ukraine	GPE	384
france	GPE	384
france	GPE	384
european	NORP	381
nato	ORG	383
russian	LANGUAGE	389
serbia	GPE	384
ukrainian	NORP	381
interior	PERSON	380
ukraine	GPE	384
donbas ukra	PERSON	380
poroshenko visafree	PERSON	380
czech tv	ORG	383
vladimir putin	PERSON	380
ukraine	GPE	384
russian	NORP	381
eu	ORG	383
american	NORP	381
ukraine	GPE	384
ukrainians	NORP	381
russians	NORP	381
russians	NORP	381
americans	NORP	381
ukraine	GPE	384
europeans	NORP	381
middle east euro	LOC	385
georgia prosperity inter	ORG	383
donbas	GPE	384
ukrainian	NORP	381
uk	GPE	384
ukraine	GPE	384
ukraine	GPE	384
ukraine	GPE	384
ukraine	GPE	384
gabriel	PERSON	380
finland	GPE	384
russia	GPE	384
army	ORG	383
czech republic	GPE	384
vladimir zhirinovsky	PERSON	380
estonia septemb	PERSON	380
nigel	PERSON	380
americans	NORP	381
hillary clinton	PERSON	380
hillary clin	PERSON	380
danish	NORP	381
russian	NORP	381
french	NORP	381
francois hollande regret	PERSON	380
china	GPE	384
democrats	NORP	381
democrats	NORP	381
ukrainian army	ORG	383
eu	ORG	383
french	NORP	381
hollande regrets	PERSON	380
russian	NORP	381
french	NORP	381
hollande regrets	PERSON	380
russian	NORP	381
french	NORP	381
hollande regrets	PERSON	380
russian	NORP	381
western	NORP	381
russia	GPE	384
poland	GPE	384
poland	GPE	384
ukrainian	NORP	381
merkel czech	PERSON	380
syrian	NORP	381
ukrainians	NORP	381
luhansk	PERSON	380
sebastian	NORP	381
eu	ORG	383
antirussian	NORP	381
russia	GPE	384
cold war west intends g	EVENT	387
russia	GPE	384
george soros	PERSON	380
ukraine	GPE	384
ukrainian	NORP	381
ukraine	GPE	384
ukraine	GPE	384
mikhail sholokhov	PERSON	380
nobel prize l...	WORK_OF_ART	388
chinese	NORP	381
europe	LOC	385
europe	LOC	385
ma	PERSON	380
nato	ORG	383
kurdish	NORP	381
turkish	LANGUAGE	389
nato	ORG	383
russia nato	ORG	383
syria	GPE	384
george soros	PERSON	380
ukrainian	NORP	381
leonid kravchuk	PERSON	380
russian	NORP	381
ukraine	GPE	384
estonia threatens sputnik	ORG	383
estonia threatens sputnik	ORG	383
europe	LOC	385
